,Cat Number,Site Number,Locality,Site,Name,Situation,AccNum,fileLocation
103,2057,Me.152/1," Bluehill Falls, Me.", Nevin Shell Heap., Tanged knife.," frrgnch IB._:3, SgectzgrgplE: _On‘ NJ]. bgrde: 100m.",25.0,peabody_files/Accession Files/16/25_2057.pdf.png
104,2071,Me.152/1," Bluehill Falls, 118.", Nevin She‘ll Heap ., Tip of slate point.," Trench IB.3, Section 1E. Black humus and pebble:",25.0,peabody_files/Accession Files/16/25_2071.pdf.png
105,2072,Me.152/1," Bluehill Falls, Me.", ‘ Nevin Shell Heap. ', Butt of slate point.," Trench 13.3, Section 1E. Black humus and pebble:",25.0,peabody_files/Accession Files/16/25_2072.pdf.png
106,2078,Me.152/1," Bluehill Falls, Me.","

Nevin Shell Heap.","

Plummet ."," Trench Ip,_§ection 1E. Deep in black humus undea",25.0,peabody_files/Accession Files/16/25_2078.pdf.png
107,2080,Me.152/1," Bluehill Falls, Me.", Nevin Shell Heap., Tang of felsite spear," Trench IO, Section 1E. In coarser humus, on

___ _. —__ [——",25.0,peabody_files/Accession Files/16/25_2080.pdf.png
108,2082,Me.152/1," P1 U- 11}: 1"" 1 ‘1 Tn","S1te ""r311“: h. 1371* 57"" I ""’43""", Shale .palletp.," 'TZ’Q""‘z?h It}, Section N“.",25.0,peabody_files/Accession Files/16/25_2082.pdf.png
109,2085,Me.152/1," Bluehill Falls, Me.", Nevin Shell Heap ., Point of Spear head.," Trench IC. 1, Section 1E. N.E. corner near ledge

kn'lnm n1A'II 14mm 4“ 6151311",25.0,peabody_files/Accession Files/16/25_2085.pdf.png
110,2086,Me.152/1," Bluehill Falls, Me.", Nevin Shell Heap ., Crude side scraper.," Trench IC. 1, Section 1E. S.E. corner of sectio

an n ‘I___‘I.I_-",25.0,peabody_files/Accession Files/16/25_2086.pdf.png
111,2087,Me.152/1,"

”Inchi'?","Slte Nevin “71611 ""M“-", P11mme+," Trnnch 177.1, Sncti?n 1*? Or 22’! ”?ne '7'_7cr[1. from",25.0,peabody_files/Accession Files/16/25_2087.pdf.png
112,2088,Me.152/1,"

P11101111 1

F9179

’

Tfm", T’evin .9th HM.“-, Hammer st one .," 'P-pnnn?) 173.1 F‘nn'F‘in‘n I"": Tn 'h ?air 111r~.5:,
. . . a . - . . ‘, . ...£’111.,

.., . a.”",25.0,peabody_files/Accession Files/16/25_2088.pdf.png
