,Cat Number,Site Number,Locality,Site,Name,Situation,AccNum,fileLocation
42,43,M50/1," Squibnocket Head, 50111
Martha's Vineyard, Ma:", Squibnocket Cliff., Point of broken awl., In hard packed loam.,1,peabody_files/Accession Files/1/1_0043.pdf.png
43,44,M50/1," Squibnocket Head, sou1
Martha' 3 Vineyard, Mas", Squibnocket Cliff ., Bone awl.," Beneath shell in black sandy loam, near stake A",1,peabody_files/Accession Files/1/1_0044.pdf.png
44,45,M50/1,"Lawmw Squibnocket Head, sout
Martha' 8 Vineyard, Mas", Squibnocket Cliff.," Very small. bone awl, o"," Lower scallop shell, near stake B.",1,peabody_files/Accession Files/1/1_0045.pdf.png
45,46,M50/1," Squibnocket Head, eout
Martha' 8 Vineyard, Mae", Squibnocket 01 if f ., Piece of worked bone., Shells of lower layer.,1,peabody_files/Accession Files/1/1_0046.pdf.png
46,47,M50/1," Squibnocket Head, sou
Martha' 3 Vineyard, Ma:", Squibnocket Cliff.,N'me Broken awl ., First shell layer.,1,peabody_files/Accession Files/1/1_0047.pdf.png
47,48,M50/1," Squibnocket Head, sou
Martha' 9 Vineyard, Ma", Squibno cket Clif f ., Bone awl ., Near too of upper shells.,1,peabody_files/Accession Files/1/1_0048.pdf.png
48,49,M50/1," Squibnocket Head, 90‘
Martha's Vineyard, M", Squibnocket Cliff., Middle of bone ail.," First shell layer, W. end.",1,peabody_files/Accession Files/1/1_0049.pdf.png
49,50,M50/1," Squibnocket Head, so
Martha' 8 Vineyard, M", Squibnocket Cliff ., Piece of bone awl., First shell layer.,1,peabody_files/Accession Files/1/1_0050.pdf.png
50,51,M50/1," Squibnocket Head, sou
Martha' 6 Vineyard, Ma", Squibno cke 1: Cl iff ., Bone awl., Black occupational debris over west end of pit 1,1,peabody_files/Accession Files/1/1_0051.pdf.png
51,52,M50/1," Squibnooket Head, sou1
Martha' 3 Vineyard, Mal", Squibnocket Cl iff ., Small bone point., In scallop shells.,1,peabody_files/Accession Files/1/1_0052.pdf.png
52,53,M50/1," Squibnocket Head, sou
Martha' 3 Vineyard, Ma:", Squibnocket Cliff., Blue wampum bead., Top of heap near west end of cut.,1,peabody_files/Accession Files/1/1_0053.pdf.png
53,54,M50/1,"locality Squibnocket Head, sou
Martha} 8 Vineyard, Ma:", Squibnocket 01 iff., Antler tine awl.," In black dirt above lower shell layer west of

__4IA. n",1,peabody_files/Accession Files/1/1_0054.pdf.png
54,55,M50/1," Squibnocket Head, so
Martha' 3 Vineyard, M", Squibnocket Cliff., Antler socket., In shells at base of first layer at west end.,1,peabody_files/Accession Files/1/1_0055.pdf.png
55,56,M50/1," Squibnocket Head, sou1
Martha's Vineyard, Ma:", Squibno cket 01 if f ., Broken all., In base of first shell in W. part of heap.,1,peabody_files/Accession Files/1/1_0056.pdf.png
56,57,M50/1," Squibnocket Head, sou
Martha' 5 Vineyard, Mal", Squibnocket 01 iff., Broken awl ., In base of first shell in W. part of heap.,1,peabody_files/Accession Files/1/1_0057.pdf.png
57,58,M50/1," Squibnocket Head, sou‘
Martha’s Vineyayd, Ma:", Squibnocket Cliff., 'Awl with point and has, In base of first shell in W. part of heap.,1,peabody_files/Accession Files/1/1_0058.pdf.png
58,59,M50/1," Squibnocket Head, 50111
Martha' 9 Vineyard, Ma:", Squibnocket 01 iff., Bone bead., Between first and second. shell layers in black,1,peabody_files/Accession Files/1/1_0059.pdf.png
59,60,M50/1," Squibnocket Head, so
Martha's Vineyard, M", Squibnocket Cliff., I’ierced fish vertabra, Found in looking over scrap.,1,peabody_files/Accession Files/1/1_0060.pdf.png
60,61,M50/1," Squibnocket Head, 30111
Martha) 5 Vineyard, Mat", Squibnocket 01 if f ., Piece of bone awl., Found in scrap.,1,peabody_files/Accession Files/1/1_0061.pdf.png
61,62,M50/1," S quibnocket Head, sou
Martha' 3 Vineyard, Ma:", Squibnocket 01 iii ., Out antler., Found in scrap.,1,peabody_files/Accession Files/1/1_0062.pdf.png
62,63,M50/1," S quibnocket Head, sou1
Martha' 8 Vineyard, Ma:", Squibnocket Cliff., Scraps 01’ crude potter, Top of first shell layer.,1,peabody_files/Accession Files/1/1_0063.pdf.png
