,Figured,Name,Locality,CatNo,Situation,SiteNo,Site,PhotoNo,Remarks,OrigNo,AccNo,f_name
8878,,unfinished whipped implement,true massachusetts is,15447,,H35,North side of small pond-swamp hollow (kettle hole) north of,,Round in 1930.,1732,141,141_15447.pdf.png
7471,I,Bowl of clay pipe,ipswich m,8674,"Area. 1'Q. 170. Is 25"" from 17H. 37"" from 18H. i-"" deep. at base of shell below date A 29"" from 17G. 43"" from with 8'deem",M13/77,Great Beach Hill,Photo.No.,"in shell..40"" below date I.",,116,116_8674.pdf.png
2111,,Needle.,blue hill fall me ,992,Grave 2.,Me. 152/1,Nevin Shellheap,,,481,3,3_0992.pdf.png
5937,,,trenton newjersey ,1619,,,,,Exchange with University Museum Philadelphia.,621,20,20_1619.pdf.png
1410,,Potsherds.,fall she ,2799,French of.1'Section of. In top of lot layer of pebbles and human under plowed shell.,Me. 152/1,Nevin Shellheap,,,2183,25,25_2799.pdf.png
7014,,Scraped,ellsworth falls maine ,9629,"16"" below of 11'west of D linen 31'north of 3 line",M39/7,Wasp Island,,oct 3 - SEE M56 Ing 9631,03-3,120,120_9629.pdf.png
235,,Quart turtleback.,eastern of squibnocket pond martha vine a re mass ,84,Or. 1 Dec. 1-4 to bottom of shell.,M50/1,Hornblower Shell Heap,,,,2,2_0084.pdf.png
6970,',Two potsherda,ellsworth maine ,9674,"205"" below of 20"" south of Of on D line in sixty basin fwklifl7.",M39/7,Wasp Island,,OCLJ-f. SMA'of fwklifl7.,D7 -1 L,120,120_9674.pdf.png
375,,1 hammer and smoothing stone.,me as tend of squibnocket pond martha vineyards mass ,227,Dec. 2'07 below shells.,M50/1,Hornblower Shell Heap,PhotO-NO-,,,2,2_0227.pdf.png
2556,,Turtle back.,andover mass ,7309,"8"" deep in sand.",M12/43,Piggery,,Lift of Arthur M. Hofmanm Ballardvalm Pass.,338,92,92_7309.pdf.png
3329,.,,mt lowell st no area di nez ,8613,"From test between Makar'e and road g"" into of 6-1"" total depth 507"" below date.",M12/43,Frank bmlth's,Photo.No.,,,115,115_8613.pdf.png
8394,,of Fragmentary wooden artifice.,my near aim nlabrador ,1520,,,Nukasujuktok Island,PbotooNO-,Exchange with Field Museum Chicago. Collected by Duncan Strong.,177236,17,17_1520.pdf.png
4858,,fragment of worked stone,south well flee my as such set to,14140,,,Pleasant Point,,Round in. 19111-,315,141,141_14140.pdf.png
332,,1 porphyry arrowpoint.,eastern of squibnocket pond martha vineyards mass ,183,Dec. 81 sand and shell in south side.,M50/1,Hornblower Shell Heap,Photo.No.,,,2,2_0183.pdf.png
8315,,Saved off end of large teatime lamp,so baffinland ,1426,,,Breweters Point  Frobisher Bay.,,B Exchange with Field Museum Chicago. Collected by Duncan Strong.,1 77261,17,17_1426.pdf.png
3177,,Ll met,ellsworth falls maine ,10210,River bed at low water found toward chapel from Sections AS9-ll,M39/7,Wasp Island,,,/f-'30,125,125_10210.jpg.png
3107,,vessel.,hamilton count ohio ,6256,hm6m1 French I Shed 1 General Digging 1'u from surface.,,Turner Mounds,,Collected by Putnam Met Neville in 1890. Embody Museum Necks exchange.,A311,34,34_6256.pdf.png
6065,,Arrovmoint.,pennsylvania ,1749,,,,,Exchange with University Museum Philadelphia.,29-11 37,20,20_1749.pdf.png
75,.,9 chips and rejects,mass ,7344,Excavations in the beach near the seat in the northern part of the western side of the island.,M39/7,Grassy Island,0.,Collected by J.W. Goldthwaite May 1933.,,101,101_7344.pdf.png
8548,,Arrow point.,an do ve mass ,7092,Round June of 1939-,M12/43,Shattuck Farm,Photo.No.,Lift of Arthur M. Hofmanm Ballardvalm Pass.,Orig.No.176,83,83_7092.pdf.png
7493,,copper,in watchman ,8655,"from 60. 50 from 10. 6"" deep. at. edge of lheIL tm I",M13/77,"Great. Neck - I W"" MV/",Photo.No.,bal'all'rep tm I',,116,116_8655.pdf.png
3432,,Lip of flared point or blade,ellsworth fall maine ,9894,"Of - Fellow clay layer. 46"" North x 25"" West of ELL depth leg",M39/7,Wasp Island,Photo.No.,06C 2.- SEE 91430 qgcffa'96301 93731,,125,125_9894.jpg.png
6827,,bone awl,pick to count lnovascotia ,13593,,,Quarry Islanm Mezrizomish Harbor,Photo.No.,,1 l 1 l,139,139_13593.pdf.png
2930,,Thickened rim snort noticed below rim,ellsworth falls maine ,10039,"Of - Topsoil. 28"" North x 6"" West of F6L 4"" deep below Of",,Wasp Island,Photo.No.,Of.23 and following are all measured from Of do m/.4.t/fLLQLh//.AJLLW By J/up/mmwtf'l,,125,125_10039.jpg.png
8479,,3 arrow point tips touched.,andover mass ,7125,,M13/77,,,Lift of Arthur M. Hofmanr-H Eallardvala Pass.,91   114,83,83_7125.pdf.png
1469,,up of barbed bone arrowpoint.,fall lie ,2858,French of Section Of. In 8. E. corner in human and pebbles - at same level as 1911141.,Me. 152/1,Nevin Shellheap,Photo.No.,,,25,25_2858.pdf.png
6176,,Broken arrovvpoint.,mass ,1860,,,,mto. N0.,Rake collection Brookfielm Pass.,,21,21_1860.pdf.png
918,,Plummet.,blue hill ff ll lie ,2280,French La Action of. Humuc - 430m. below of.3/Of.,Me. 152/1,Nevin Shellheap,PhOtO-NO-,,,25,25_2280.pdf.png
6022,,Spearhead.,bucks county pennsylvania ,1706,,,Ne shaminy .,,Exchange with University Museum Philadelphia.,8175,20,20_1706.pdf.png
626,,Potnherda.,east and of squibnocket pond martha vineyards mass ,482,Dec. 308.,M50/1,Hornblower Shell Heap,Photo.No.,,0rig.No. 811/83,2,2_0482.pdf.png
4715,,fragment of a whipped implement,well flee massachusetts ,13930,Dear shore of frog pond in rear of Chequesset Inn.,,Rear of Chequesset Inn,,Round in 1912.,50,141,141_13930.pdf.png
5037,,,well flee massachusetts ,14375,High land bordering large meadow.,,West of Mayo's Beach Light,,Round in 1915.,,141,141_14375.pdf.png
1006,,Broken bone pike head.,else hill falls l,2371,22. In black human and pebbles.,Me. 152/1,Nevin Shellheap,PhotO-NO-,Ruth,Oriz.No.1100,25,25_2371.pdf.png
4277,,Utilized lake,inches point awestshore east bay perry me ,13097,L a ye r'3.,Me. 152/7,Mincher's Point,Photo.No.,(520) Located by Or. I.W. Kingsburm Merry he E50. 1950.,,137,137_13097.pdf.png
2204,,Fragment of thuhlbsordperf,blue hill maine ,5826,French of.1- Section Of. Grown ash L east half.,Me. 152/7,Richard's Shellheap,,,R1821,32,32_5826.pdf.png
8489,,Arrow point.,andover mass ,7087,pound Act. 13'1915.,M12/43,,,Lift of Arthur M. Hofmanm Ballardvalg Pass.,64,83,83_7087.pdf.png
4346,,Abrsding stone,inches ft west snore last perry me ,13191,,Me. 152/7,Mincher's Point,,RCMkHB'of) Located by Or. L.W. Kinrrlsbur'L Term He.,Orig.No.191,137,137_13191.pdf.png
7756,,Scraped,dennysville maine ,11732,"Q. F-L 79"" f A he"" 1710 50"" below surface 5"" un- der forage.",Me. 152/7,Seneca River,,In fire('3) w ere pipe found.,-159,130,130_11732.pdf.png
2710,',Trhnguloid. corners removed,lowell st will mind tom mass ,8498,A13. 55. fret A. ask- from M. 25- into new It depth 393g below date.,M12/43,Van Steensburg,Photo.No.,Above coarse gravel.,37,114,114_8498.pdf.png
5665,,fragments of whipped implements(2),south wellfleet massachusetts ,15316,,,,,10 und by John E. Hopkinson in 1929.,1583,141,141_15316.pdf.png
3080,,Whipped point.,hamilton county ohio ,6192,Round L Section 4.,,Turner Mounds,,Collected by Putnam c Met in 1886. Embody Museum Necks exchange.,1644,34,34_6192.pdf.png
4819,,greeted felt,well flee massachusetts ,14091,Top of high bank bordering Wellfleet bay.,,Northeast of Chequesset Inn,,Round in 1913. W.K. Forehead says specimen is rare type.,265,141,141_14091.pdf.png
6694,,Tone in process of manufacture into implements grooved side,pick to county novascotia ,13505,Surface of shell heap near landing.,,McDonald's Farm Olding Island,Photo.No.,,,139,139_13505.pdf.png
2607,5,staumgl gjizxt'mess,go ,8288,"7 3 3 L - I T""'3"".'-'. 3 - -3 33 - n -.7'B -m 7. 334 Q -. 3. -.. 3 3 1 v r..- M 33.",M. 59/63,331W 3  J,Photo.No.,,13,110,110_8288.pdf.png
7569,,Knife W,we ty ipswich the ,8805,"Area. 1. sq. Of 28"" from. 711. 32"" from of. 8"" deep. in brown clay below shell. 30"" below date I.",M13/77,Great. Neck - I,,,,116,116_8805.pdf.png
770,,Broken bone awl.,blue hill fallen me ,2131,French 113.23 Section of. Black human and pebbles,Me. 152/1,Nevin Shellheap,PhotO-No.,,1715,25,25_2131.pdf.png
7130,,the Two fragments of bone.,alaska high was west of white horse upon territory ,12738,excavated from lowest turf layer stratum L south wall.,,Canyon no . 1,,but. Upon NotesyJune 9. 19146.,4-5,135,135_12738.pdf.png
306,,4 arrowpoints 1 broken qrrowpoint of quart.,east and of squibnocket pon martha vineyards mass ,156,nm my Dec. 12. in brown and yellow sand below shell.,M50/1,Hornblower Shell Heap,,,,2,2_0156.pdf.png
5059,m,fragment of worked quart,wellfleet massachusetts ,14403,Dug from shell layer at top of large sand tank on east shore of Wellfleet May.,,Between Town Cove and Indian Neck,,Round in 1915.,,141,141_14403.pdf.png
6490,,of Potshord.,richmond us ontario ,1939,,,Read.,PMto-No-,Prehistoric Seneca. Exchange with Municipal lumen'Rochester'of.,11133,23,23_1939.pdf.png
1749,,Knife.,blue hill fell ame ,629,of. In by c human well below shell.,Me. 152/1,Nevin Shellheap,Photo.No.,,0rig.No.207,3,3_0629.pdf.png
2000,,Turned piece of polished bone.,blue hill falls me ,881,of. In human above rocks.,Me. 152/1,Nevin Shellheap,,,,3,3_0881.pdf.png
5046,,unfinished arrow head,well flee massachusetts ,14386,Ku in Dug from shell heap on north shore of small none in rear of Chequesset Inn.,,Chequesset Inn,,Round in 1915-,602,141,141_14386.pdf.png
6423,',Scraped,lower half of lake albany eh about seven miles south of narrows east shore ,11262,Turf ac 6,,,,,,126,126_11262.pdf.png
2531,,Case of broken arrow point.,andover mass ,7283,"12"" deep in grave east of circular depression.",M12/43,Piggery,,,312,92,92_7283.pdf.png
2051,,Plummet.,blue hill fall she ,932,French 10.4 Section 953. 480m. from top of heap in human.,Me. 152/1,Nevin Shellheap,,,21 9,3,3_0932.pdf.png
