,Figured,Name,Locality,CatNo,Situation,SiteNo,Site,PhotoNo,Remarks,OrigNo,AccNo,f_name
6215,,Scapula scraped.,throne to vs hip schuyler cot in,1899,Lvrivf.31's fQCUS,,Lamoka Lake,PhotO-NO-,of. - t OFT. Lvrivf.31's fQCUS... u 1 in Museum Rachestalg of. 0 la,9005,22,22_1899.pdf.png
3742,,Utilized chip,ma harp it be it on neck per rose maine ,11887,9 50 T e s t A,Me. 152/7,Mahar's Point,,,55-,131,131_11887.pdf.png
5177,,arrow head,ve ll fleet mass ache sat to,14544,Part path in field that slopes northeast to Neck Road.,,Northeast of Chequesset Inn,,F round in 1916-,,141,141_14544.pdf.png
8284,(case 3294),Long whipped point of clear chalcedony.,my of jack lanes an labrador ,1269,,,NW Corners Brook 2,Photo.No.,Exchange with Field Museum. Chicago. Collected by Duncan Strong.,176991,17,17_1269.pdf.png
2737,,of,,8511,,,,,,,114,114_8511.pdf.png
8719,,fragment of trading stone,north true massachusetts ,14985,,,Farm of Warren Small. High Head (Pilgrim Heights),,round in 1921.,1210,141,141_14985.pdf.png
6284,,Long ceremonial(T) stone asphaltum on tip.,channel island california ,4043,,,,,Exchange with Southwest Museum. Toe Angeles 08.1.,,28,28_4043.pdf.png
1789,,System shell.,blue hill de he ,669,French 13.3 Section of. Below plow line under large stone in calm shells.,Me. 152/1,Nevin Shellheap,Photo.N0-,,Orig.No.148,3,3_0669.pdf.png
4389,,Piece bone knife,inches sat westshore was bay perry me ,13242,,Me. 152/7,Mincher's Point,,Ranks(306) DOnated by Or. I.W. Kingsbury Merry He.,2 56,137,137_13242.pdf.png
4222,,Scrap er,inches point westshore east bay perry maine ,13025,"West 10 N wall at N-L un of shell 19"" is.",Me. 152/7,Mincher's Point,Photo.No.,,,137,137_13025.pdf.png
1795,,Broken tip of arrowpoint.,blue hill fall the ,675,French 10.4. Section of. A'love plow line.,Me. 152/1,Nevin Shellheap,Photo.No.,,0rig.No.136,3,3_0675.pdf.png
4881,,rhyme crude knife,lo qu ny wellfleet massachusetts ,14173,Part oath in field north of Chequesset Inn.,,Northeast of Chequesset Inn,,Round in 19114.,,141,141_14173.pdf.png
7152,,Seat roasting stick,brush camp ptarmigan heart valley upon territory ,12875,,,,,F.J. Upon Notes.,7 6 .,135,135_12875.pdf.png
8062,,Pointed core implement,bay south of site no ,9315,,Me. 152/7,,Photo.No.,collected by Edward Rogers,,118,118_9315.pdf.png
468,,4 fragments of quart knives.,eastern of squibnocket pond martha vineyards mass ,322,It 307-F.,M50/1,Hornblower Shell Heap,Pboto.No.,,0mm. SA/ls,2,2_0322.pdf.png
8227,,2 arms of wooden doll.,hopedale labrador ,4258,,,,,M. Lawrence Fields collection.,,31,31_4258.pdf.png
1840,,.,blue hill fall me ,720,French ICJH Section of. In shells.,Me. 152/1,Nevin Shellheap,Photo.No.,,Orig.No.85,3,3_0720.pdf.png
3525,,fragment of pottery,wellfleet massachusetts ,15007,Skua00nplowed ground,,Taylor Farm on North side of Neck Rd.,,in 1921.,,141,141_15007.pdf.png
3975,,Small lancelate blade,ft ne of site ,12613,S r'u a c 6,M 50/9,,Photo.No.,,0rig.No.,134,134_12613.pdf.png
8544,,Knife.,andover mass ,7052,Round flay 30 1936.,M12/43,,,Lift of Arthur M. Hofmann'Ballardvalm MaSS-,156,83,83_7052.pdf.png
4460,,Projectiles point tip,shore day lowell island old mind she ,13331,West 1 juncture of seat and clay.,Me. 152/7,Hallowell Island,Photo.No.,,0rig.No. 5,137,137_13331.pdf.png
4022,,broken blade,au au w across narrows from emccleods trading post mistassini ,12660,,,,Pham.No.,RmnmksSite found in 19h8.,,134,134_12660.pdf.png
7620,,Joint(H,dennysville maine ,11695,"115-1 on line 20"" he-not'below surface(2"" below forage) in arm grey clay and c Laycoal.",Me. 152/7,Seneca River,,,-9u,130,130_11695.pdf.png
8425,Collected by Duncan Strong.,,near hoped al in labrador ,1384,,,perforated lashings' probably part of kayak.,,Exchange with Field museum Chicago.,,17,17_1384.pdf.png
1543,,Porcupine tooth chisel.,fall be ,2932,French 10 Section of. Black human and pebbles south of.3 mmm practically on bank.,Me. 152/1,Nevin Shellheap,Photo.No.,,,25,25_2932.pdf.png
3760,lead,rubbing stone's,can for point gold snort maize ,11912,- beach below cliff exposure.,Me. 152/1,Bunker's Point,,,,131,131_11912.pdf.png
4354,,Potsherd,in inches sat uwestshore mast bay perry me ,13200,Days r 1.,Me. 152/7,Mincher's Point,Photo.No.,(579i located by Or. I.W. Kingsburyy ferry He.,,137,137_13200.pdf.png
2836,,scraped,ellsworth fills maine ,9673,"13-3/in below am on 7 line. 11"" south or a line in'hated. SAL M50",H35,Wasp Island,Photo.No.,Of.'P059Zlal7 in'hated. SAL M50 00/4063,n7-12,120,120_9673.pdf.png
1582,,Broken cut swordfish sword.,blue hill fall me ,2971,French 10.2'Section 10E. System shell long of. corner.,Me. 152/1,Nevin Shellheap,Photo-No-,,3957,25,25_2971.pdf.png
2788,.,Arrowpoint,ellsworth falls maine ,9524,"5"" below of 259 north of 1 linen 16'east of B line on edge of ashes of fire area OCCUP. 7",M39/7,Wasp Island,,,kl-2,120,120_9524.pdf.png
3376,',Trianguloim stemmed'rounded corners,new is bury ,8627,surface i'and'epodcci area to east,M12/43,Lacy,,,,115,115_8627.pdf.png
6549,,Broken and killed soap stone lamp.,vicinity of pain labrador ,11989,,,Vicinity of Nain,,,,132,132_11989.pdf.png
2615,,,,8296,,,,,,,110,110_8296.pdf.png
4065,,Ship,ix md by approximately miles below the our action of the chigoubiche river and the ashuapmuchuan river on the right ,12708,Surface,,,thn.No.,,Orig.No.,134,134_12708.pdf.png
1288,,Part of needle.,blue hill lie ,2675,French of U Section Of. Bottom of 1515 Layer of she'Is.,Me. 152/1,Nevin Shellheap,,,1969,25,25_2675.pdf.png
8332,,2 broken points. one brown and one gray.,min davis let nlabrador ,1328,,,Big Island,Photo.No.,Exchange with Field Museum'Chicago. Collected by Duncan Strong.,177049,17,17_1328.pdf.png
4845,,arrow head,south well flee massachusetts ,14125,,,Pleasant Point,,Round in lash.,,141,141_14125.pdf.png
3447,.,Ships,southwestern alaska ,7794,Surface in red 5011.,,Mile 1359 (Tel. Post 21516),Photo.No.,8/12/44,59-1,108,108_7794.pdf.png
8234,,Mouthpiece for drill.,ok am labrador ,4252,,,,,M. Lawrence Fields collection.,,31,31_4252.pdf.png
5108,h,part of- arrow head,wellfleet massachusetts ,14459,Ku in Top of hill with large gravel bank on east shore of Well- fleet May.,,Between Indian Neck and Duck Creek,,Round in 1916.,707,141,141_14459.pdf.png
5252,,fragments of whipped implements(2),well flee a massachusetts ,14632,,,Site North of Chequesset Inn,,Round in 1917.,887,141,141_14632.pdf.png
1573,,Broken spear head.,falls ,2962,French of Section 1032. Shell flecked human.,Me. 152/1,Nevin Shellheap,,,3731,25,25_2962.pdf.png
431,,1 shale Line 1 broken chirped quart,we as tend of squibnocket pond martha vineyards mass ,283,It 307-1.,M50/1,Hornblower Shell Heap,PhotO-NO-,,Oriz.No.SA/28,2,2_0283.pdf.png
7218,,More tone M,ipswich has ,8850,"Area I Q. 103 iron let. 
5	1	4	1	2	5	576	738	116	36	79	from
5	1	4	1	2	6	725	735	108	46	68	100.
5	1	4	1	2	7	870	728	84	51	53	84V
5	1	4	1	2	8	991	733	140	44	76	deep.
5	1	4	1	2	9	1168	733	62	34	74	at
5	1	4	1	2	10	1266	737	111	29	76	base
5	1	4	1	2	11	1413	732	55	33	81	of
5	1	4	1	2	12	1501	728	171	46	74	shell.
2	1	5	0	0	0	33	787	535	78	-1	
3	1	5	1	0	0	33	787	535	78	-1	
4	1	5	1	1	0	33	787	535	46	-1	
5	1	5	1	1	1	33	787	84	46	89	70 below date 1.",M. 59/63,su Great Neck - I,Photo.No.,,264,116,116_8850.pdf.png
5034,,arrow head,well flee c massachusetts ,14370,High land bordering large meadow,,West of Mayo's Beach Light,,Round in 191/-,903,141,141_14370.pdf.png
1291,,Broken beaver tooth chisel.,eye due hill full she ,2678,42. Sh911 flecked human 440m. below of.1/Of.,Me. 152/1,Nevin Shellheap,thD-Nb-,,3006,25,25_2678.pdf.png
4232,m,Too th stone,inches sat uwestshore of east bay perry me ,13042,"West 10 10"" as in loose packed shell and black humusz(last shell 0).",Me. 152/7,Mincher's Point,Photo.No.,,,137,137_13042.pdf.png
7110,,"One head stunning
5	1	1	1	1	7	1358	70	202	40	77	arrows",from cabin head of big arm lane lake upon territory ,12885,,,,,Made by Jimmy Johnson. F.J. Upon Notes.,8 5 .,135,135_12885.pdf.png
1495,,Joint of broken drill.,blue hill fall me ,2884,French 18.3 Section 7112. Flowed shell 8.1. part,Me. 152/1,Nevin Shellheap,,,Orig.No.1811,25,25_2884.pdf.png
5500,,arrowhead,wellfleet massachusetts ,14979,,,West Shore of Gull Pond,,Round in 1920.,1201,141,141_14979.pdf.png
4371,,Not shed,inches sat westshore east bay per am me ,13219,,Me. 152/7,Mincher's Point,,(557) Located by Or. I.W. Kingsbury5 merry He.,229,137,137_13219.pdf.png
3957,,Utilized lake,miles of site law soda ,12595,Our a c 6,,,Photo.No.,,0rig.No.,134,134_12595.pdf.png
8666,,fragment of drill,out he feet massachusetts ,14868,,,I. taut en'z nt I Gland,,Round in 1919.,,141,141_14868.pdf.png
6635,h,Zinc crude leaf-shaped blade whipped,no may bag he nay county we be ,13671,From surface of last terrace overlooking the st. Lawrence.,,m 2 miles east of Taaousac,,,806,139,139_13671.pdf.png
8779,,unfinished knit fe,south ve ll fleet massachusetts ,15136,,,Farm of J. P. Brown on north side Indian River,,Round in 1925.,,141,141_15136.pdf.png
5019,,fragment of large whipped implement,wellfleet massachusetts ,14352,,,North Shore of Indian Neck,,Round in 1915.,56h,141,141_14352.pdf.png
2517,,Broken spear point.,andover mass ,7269,Associated with 897.,M12/43,Piggery,,Lift of Arthur M. Hofmann'Ballardvalm Pass.,298,92,92_7269.pdf.png
5653,,fragments of whipped implements(5),true massachusetts ,15297,,,North side of Small Pond in Hollow,,Round in 1929.,1561,141,141_15297.pdf.png
8921,,fore imply me it 5,abe ut miles north on the westshore of the tm is came river above its junction with the ,11362,,,,,Given to University of Arizona State Museum. 1/31/58,,126,126_11362.pdf.png
2562,HTLWIJad'six/M.A. 5.1/4.1. 17911,Fragment of arrow point.,andover mass ,7316,7.5.11 deep.,M12/43,Stickney Site,,Lift of Arthur M. Hofmanm Ballardvalm Pass.,51 5,92,92_7316.pdf.png
785,',Roi'red swordfish sword.,blue hill fall she ,2147,French of/O Section Of. Take section pebbles and human.,Me. 152/1,Nevin Shellheap,,,1541,25,25_2147.pdf.png
7144,,the Two fragments of arrowtoints.,ix md by alaska highway west of whitehorse upon territory ,12728,Up a c e.,,Top of terrace east of canyon,Phan.Nb.,Am k3IUJ. Upon Rates June u 19u8 Possibly fragments modern they are at least more recent than nos. u,1 5 .,135,135_12728.pdf.png
76,,Arrow point.,may ,7346,From the surface of the beach and flats along and below the western bank of the seat.,M39/7,Grassy Island,,Collected by Johnson Bryan'Cause Benninghoff.,,102,102_7346.pdf.png
8382,,Badly eroded felt. or gray stone ground edge.,so of jack lanes bay nlabrador ,1288,,,Windy Tickle Island,Photo.No.,Exchange with Field Museum Chicago. Collected by Duncan Strong.,177011,17,17_1288.pdf.png
7940,31 - American Antiqultm Vol. 3211.3 Late of,Scraped,lake in temiscamie given miles from mouth ,9247,,M50/1,,Photo.No.,,,118,118_9247.pdf.png
5416,,pottery scraped,annandale florida ,14819,Gage shell heap on west shore of Halifax Given north of Rose May.,,La Plata River,,Round in 1919-,1029,141,141_14819.pdf.png
2423,,Arrow point.,andover mass ,6950,Round 1-an 30 1926.,M12/43,,,Lift of Arthur M. Hofmanm Ballardvalm Pass.,105,83,83_6950.pdf.png
6826,,decorated fragment,not tawasaga two usimcoe con on t,13730,excavation 50,,Side y-Ma ckay,Photo.No.,,2014093,139,139_13730.pdf.png
1912,,Not shares.,blue hill fall me ,792,Of. In shells just below plow line.,Me. 152/1,Nevin Shellheap,,Sum l Two thirds show possible vegetable inclusion in paste.,,3,3_0792.pdf.png
2312,,Ended spear point.,andover mass ,6839,,M12/43,Piggery,,,265,83,83_6839.pdf.png
4779,,arrow head,wellfleet massachusetts ,14029,Top of high land bordering Hearing River.,,Approximately 1 1/6 Mile West of Cheques,,Round in 1913.,192,141,141_14029.pdf.png
2499,,Quart cleaver.,no man slandmass ,7228,,M49/31,,,Lift of Alexander and Priscilla Crane.,,91,91_7228.pdf.png
5497,,arrowhead,wellfleet massachusetts ,14973,,Me. 152/7,"North of Cow Pasture, Taylor Farm",,Round in 1920.,1196,141,141_14973.pdf.png
3937,,Ships,on prominent point end puskitamika lake ,12574,Our a c 3,Me. 152/7,,Photo.No.,,Orig.No.,134,134_12574.pdf.png
4159,,Forge or fragment of gorge,,12960,,,"Vicinity of Lowell, Mass",,Sawtelle Collection.,,136,136_12960.pdf.png
2213,,Fragment of aircivbdin'of,blue hill maine ,6033,French of Section of. Finely broken shells and human.,Me. 152/7,Richard's Shellheap,,,R529,32,32_6033.pdf.png
5477,,arrowhead,south wellfleet massachusetts ,14936,,Me. 152/7,South side of Indian RiVer on Obed Horton at point where riVer,,Round by John E. Kopldnson in 1920.,1157,141,141_14936.pdf.png
1745,,Butt of broken unfinished arrowhead,blue hill fr all lie ,625,French 19.3'Action 551. Must under so.,Me. 152/1,Nevin Shellheap,,,,3,3_0625.pdf.png
4227,(N,Projectiles point,inches sat westshore of was bay perry me ,13035,He a ch 0 tide. just west of center just above mean high,Me. 152/7,Mincher's Point,,RmnmksHinckley felsite0,110g,137,137_13035.pdf.png
6825,,Fragment of whipped stone point for,pick to county novascotia ,13520,opened by the Rev. George Paterson in 18..A,,Merigomish,Photo.No.,,675,139,139_13520.pdf.png
2139,,Arrowpo in.,maine ,4285,French LLZg Section of. Northwest wall. black human layer.,Me. 152/7,Richard's Shellheap,,,R288,32,32_4285.pdf.png
5591,,knife,eastham massachusetts ,15181,,,North End of Cove on North Side of Great,,in 1925.,,141,141_15181.pdf.png
8832,,fragments of whipped implements(9),north true massachusetts ,15280,,,Pilgrim Heights,,Round by John E. Hopkinson in 1929.,1543,141,141_15280.pdf.png
1454,,Broken bone awl.,fall me ,2843,French 113.3. Section Of. Deep in shell on east side.,Me. 152/1,Nevin Shellheap,Photo.No.,,,25,25_2843.pdf.png
3131,,Large gray flint chip.,hamilton county ohio ,6203,Round L General Digging.,,Turner Mounds,,Collected by Putnam c Met in 1886. Embody Museum Necks exchange.,A551,34,34_6203.pdf.png
2636,,ll'or'cry fraJmHt. fclslte,city pray ,8327,L U 4.4 A h 1 d. a l u - 4 - - v 4 -in 7'73'-. of ri-l'Will'1.7.1 4...w J. 1.,Me. 152/7,flsls' 5'23-1  h w,,,,110,110_8327.pdf.png
1547,,Arrowpoint.,blush ill falls me ,2936,French 10.2 Section him. and shell layer near 912 line.,Me. 152/1,Nevin Shellheap,PhotO-NO-,,Orig-No.2947,25,25_2936.pdf.png
5552,,unfinished arrowhead.,south wellfleet massachusetts ,15092,,,Garden of G.S. MacFarland on North Side,,Round by John E. Hopkinson in 1923.,1347,141,141_15092.pdf.png
8937,,Drag. knife,lake in temiscamie given miles from mouth ,9216,,Me. 152/7,,Photo.No.,,,118,118_9216.pdf.png
2946,I,Large red stony noticed point.,min davis let nlabrador ,1318,,,Big Island,PhotO-NO-,Exchange with Field Museum Chicago. Collected by Duncan Strong(Case E294),177039,17,17_1318.pdf.png
250,,3 quart and 2 porphyry arrowpoints.,eastern of squibnocket pond part has vineyards mass ,99,grm my Dec. 6 in mixed shell and human.,M50/1,Hornblower Shell Heap,,,,2,2_0099.pdf.png
2342,,Arrow 130 in.,andover pass ,6869,"10"" deep in charcoal. Round Act. 7 1940.",M12/43,Piggery,,Lift of Arthur M. Hofmanm Ballardvalm Pass.,243,83,83_6869.pdf.png
716,,Broken hanged arrowpoint.,blue hill fall lie ,2076,French I(L Section of. In black human.,Me. 152/1,Nevin Shellheap,,,,25,25_2076.pdf.png
5153,,part of arrow head,south wellfleet massachusetts ,14515,,,Pleasant Point,,Round by John E. Hopkinson in 1916.,,141,141_14515.pdf.png
6445,,2 knives,two miles north of obedjewan rapid sport age on north end of long island lake mistassini ,11145,S u r f ac 6,,,Photo.No.,,Orig.No.,126,126_11145.pdf.png
6377,,Obsidian lake knife.,southern oregon ,4143,,,,,Purchased from Major 0.3. McCleary'Cortlandt. Oregon by W.K. Forehead.,,30,30_4143.pdf.png
4658,,uniface perforated,west i elm massachusetts ,13842,LXC. you south upper level.,,Guida Farm,Photo.No.,,,140,140_13842.pdf.png
4188,m,Plummets,,12990,,,"Vicinity of Lowell, Mass",0.,Sawtelle Collection-,,136,136_12990.pdf.png
8673,,unfinished whipped implement,south we li fleet was ache tea,14883,,,J . P. Brown's asparagus farm on shore of Indian River,,round by John E. Hepkinsnn in 1919.,,141,141_14883.pdf.png
8890,,5 arrowpointe.,anne asunder count maryland ,1193,,,,Photo.No.,Exchange with U.S. National Museum. Collected by J.D. acquire.,208636,16,16_1193.pdf.png
6834,,decorated rrrr fragment,not tawasaga two usimcoe co on t,13800,Excavat ion 6 -,,Sidey-Ma ckay,Photo.No.,,21 06M,139,139_13800.pdf.png
7722,,Not shed(pipe'.7),de neville maine ,11736,"F-LH595'G-h 57"" G-go 25"" below surface in horizon d(clay under grey occupation layer.)",Me. 152/7,Seneca River,,bits a Piece of 5/5.,475,130,130_11736.pdf.png
307,,i fragment of quart arrozpoint T,east and of suit nook et pond martha vineyards mass ,157,Dec. 12 above system shells in black human and choose.,M50/1,Hornblower Shell Heap,Photo.No.,,,2,2_0157.pdf.png
6735,,piece of worked bone,pick to count lnovascotia ,13602,,,Quarry IslancL Merig-omish Harbor,Photo.No.,,1187,139,139_13602.pdf.png
982,,One needle.,blue his if s lie ,2346,"French of'Section 713.111 rider's
5	1	3	1	1	7	1410	678	144	37	81	nest 610m. below 18/32.",Me. 152/1,Nevin 511811 Henp.,,,3191,25,25_2346.pdf.png
3981,,Utilized lake,no sores corner la cap as couple ,12619,Our a ce,,,Photo.No.,,,134,134_12619.pdf.png
658,,Worked chip.,blue hill falls me ,2018,French of Section of. In surface.,Me. 152/1,Nevin Shellheap,,,92,25,25_2018.pdf.png
5649,,knife,north true massachusetts ,15290,,,Land of Arthur Cobb on North Side to R.R,,Round by Arthur Cobb. N. Neuro. Pass.,15 54,141,141_15290.pdf.png
2290,,,ace ton arizona ,6677,,M50/1,,,Fxchanqo from Necks pottery. C- i la Pueblo Love,118 57,79,79_6677.pdf.png
1308,,Piece of worked bone cut across one end.,blue hill the ,2696,Of. In Stratum I(shells and ash) almost on surface near 13.3/43 stake.,Me. 152/1,Nevin Shellheap,,,,25,25_2696.pdf.png
2155,,Felt.,blue bill maine ,4651,of. Black human in west half of section.,Me. 152/7,Richard's Shellheap,,,Orig.No.31537,32,32_4651.pdf.png
5436,,fragments of whipped implements(3),wellfleet ii as such set to,14840,,,Taylor Hill Site,,Round in 1919.,,141,141_14840.pdf.png
2668,,walked flaw falsity,low won to up or situation ll sat vii ,8361,"Ll'au. TII-oh 10 a in'to sad w..gr..'/Ll a"" in J U of."" 3.1011 U VII",,"I'll""lE' bcou 42an",Photo.No.,.,,110,110_8361.pdf.png
2873,,Fragment of whipped blade tip,ellsworth fall maine ,10007,Of - Topsoil. 250 South 3950 west in deep means. from E70 1947 stake,M39/7,Wasp Island,Photo.No.,W. 4 in 4/61) Fr,0rig.No. E6.27,125,125_10007.jpg.png
7562,,M,no was in ,8856,"Area 1. sq. 111. 56"" fro. 12L. 53"" from 1211. of deep. in shell. 21."" below date I.",M13/77,Great Beach Hill,,,113,116,116_8856.pdf.png
2460,',Scraped.,andover mass ,6987,,M12/43,,,Lift of Arthur M. Hofmanm Eallardvala Pass.,,83,83_6987.pdf.png
3355,,Worked fragment or knife'falsity,land ve ,8609,"West Q. of g"" into YIL 11"" Total depth 315"" below date",He.152/1,Sleulons,,,,115,115_8609.pdf.png
5209,,part of knife,wellfleet massachusetts ,14585,Camp site on point on east shore of Hearing River directly east of center of Griffin Island.,,East Shore of Herring River Meadow,,Round in 1916.,(537,141,141_14585.pdf.png
3243,.,Thumb scraped of flint,ellsworth fall maine ,9782,"West trench 488 - Horizon U about 18"" below surface",M39/7,Wasp Island,Photo.No.,L654 4. JnAA k I,TT488.2,125,125_9782.pdf.png
1197,,Winning knife(unfinished).,blue hill fall go e,2578,French of Suction Of. Low first shells in,Me. 152/1,Nevin Shellheap,Photo-No-,,Oriz-NO-ZMG,25,25_2578.pdf.png
241,,the 2 broken arrOWpoints.,eastern of squibnocket pond martha vineyards mass ,90,Dec. 4 in sand.,M50/1,Hornblower Shell Heap,,,,2,2_0090.pdf.png
3371,,Lip of point relate,southeast shore pomp pon land ovo ,8606,"Round in upper 3"" of yellow-brown sand'below or loam. From land between houses and sand pit.",M12/43,Camp Manning,Photo-No.,From 1943 Must,,115,115_8606.pdf.png
7314,',Fragment of tapped coin mineral tempered,is ices s,8719,"Area I. an. let 68"" from let 50"" from 10K 7-1"" deep in shell 26''below date I.",M49/31,Great Beach Hill,,,,116,116_8719.pdf.png
3778,h.,Felt,otisfield come jake to mrs on maine ,11931,'. or'f a c 8,Me. 152/7,"Otisfield, Maine",,W. Word Collection.,-7,131,131_11931.pdf.png
6206,,Hammerst one.,piti throne to vs him schuyler co ivy,1890,,,Lamoka Lake,Phot0-No.,"Archaic pattern Amour- focus. of'ZCEX""J.L'G with Xunicip'J unsygwn'Rochester'33.1",17 300,22,22_1890.pdf.png
8691,,abolishing stone,south wellfleet massachusetts ,14925,,,J. P. Brown's asparagus farm on shore of Indian River,,Round in 1920.,1146,141,141_14925.pdf.png
8460,,Arrow point.,andover was s,7038,Round Dug. 5 1907.,He.152/1,,,Lift of Arthur M. Hofmanm Eallardvalm Pass.,37,83,83_7038.pdf.png
8934,,Fragments of black-on-white bowl.,for rich ,6620,,,Ifimbre 5 Va 1 l CY .,,Purchased by A12 Bidder.,,70,70_6620.pdf.png
8255,,Red stone noticed point.,min davis let nlabrador ,1319,,,Big Island,Photo.No.,Exchange with Field Museum Chicago. Collected by Duncan Strong. E294),177040,17,17_1319.pdf.png
1398,'(Case,Large broken harpoon.,falls me ,2787,French 1845 Section of. Take section. in rd shell layer.,Me. 152/1,Nevin Shellheap,,,2300,25,25_2787.pdf.png
5498,,fragment of arrowhead,wellfleet massachusetts ,14976,,,"Central West Shore, Griffin Island",,round in 1920.,1199,141,141_14976.pdf.png
8454,,Arrow point.,andover mass ,7106,Round May 30 1917.,He.152/1,,,gift of Arthur 1.1. Hofmann Ballardvalm Pass-,73,83,83_7106.pdf.png
4209,(N,Damaged two-hole forget,,13011,,,"Vicinity of Lowell, Mass",,Sawtelle Collection.,,136,136_13011.pdf.png
3835,m,fragment of whipped implement,wellfleet massachusetts ,14664,,,Taylor Hill Site,,Round by Martha Elizabeth Sorry in 1917.,,141,141_14664.pdf.png
4284,,'Hammerstone(if),mine her sat west short has bay per ll me ,13107,Level h.,M12/43,Mincher's Point,Photo.No.,(361) Located by Or. I.W. Kingsburm Merry Men,,137,137_13107.pdf.png
3373,,Nasal fragment or point falsity,new lzsmm ,8628,uupfacc 4'311'1'cocci urea to east,M. 59/63,Lacy,,,,115,115_8628.pdf.png
301,,Rude quart scraped,eastern of squibnocket pon martha vineyards mass ,151,see. Of in shell.,M50/1,Hornblower Shell Heap,Photo.No.,Round in scrap.,,2,2_0151.pdf.png
6128,,Broken arrowpoint.,war re mass ,1812,,,Near Dean's Brook,Photo.No.,Rake collection Brookfielch Pass.,21,21,21_1812.pdf.png
898,,Joint of knife.,ban eh il is e,2260,French up 2 section 15172. In hnrzus in rock floor.. 1 -,Me. 152/1,Nevin Shellheap,,,,25,25_2260.pdf.png
1306,,Worked(of) fish bone.,blue bill falls lie ,2694,412. In Stratum I(shells and ash) near surface'along of.3 line near center.,Me. 152/1,Nevin Shellheap,,,307,25,25_2694.pdf.png
7460,,Pour Lanceohto. Stomach my but'knife point. royal ta,ipswich mass ,8975,"Area'I Q. him him from 101. 5 
5	1	5	1	1	10	1327	689	121	36	78	from
5	1	5	1	1	11	1477	687	114	49	56	him
5	1	5	1	1	12	1629	679	86	56	62	i deep'in brown clay below shell'ZOP'below date",M12/43,Great Beach Hill,,,1,116,116_8975.pdf.png
4548,6/15/51-,Lip of projectiles point,ix md by western snore dig de go as hen let due east of qui ,13455,U known.,M39/7,Point Pleasent,Phan.No.,sugar attire. Lift of Or. 1.'w. Kirugsb of ferry He.,0rig.No.'u,137,137_13455.pdf.png
6134,,Line Broken arrowpoint.,war re mass ,1818,,,,,Rake collection Brookfieldq Pass.,30,21,21_1818.pdf.png
1095,,Bird bone awl.,eh falls lied ,2468,French IEJL Section 33. Right human and pebbles.,Me. 152/1,chin 8116st  He 1p .,,,Orig.No.1741,25,25_2468.pdf.png
678,,Rude knife.,blue hill fall me ,2038,French of.1 Section Of. For of black human and pebbles below and shell.,Me. 152/1,Nevin Shellheap,Photo.N0-,,1836,25,25_2038.pdf.png
6795,,Whetstone made of a flat piece of,pick to count oh novascotia ,13583,,,Quarry Island  Meriqomish Harbor,,,,139,139_13583.pdf.png
3959,,Large decorated rimsherd,miles of site law soda ,12597,Bursa c e(,,,Photo.No.,,Orig.No.,134,134_12597.pdf.png
3758,,the Projectiles point butt,run her so in mgoldsboro law line ,11910,"felt 56'12 18"" low surface.",Me. 152/1,Bunker's Point,,,-7,131,131_11910.pdf.png
2706,,,,8476,U H,,,,,,114,114_8476.pdf.png
1632,,stone.,blue hill fall she ,512,French of.1'Section Of. Below shell in brown among rock.,Me. 152/1,Nevin Shellheap,,,,3,3_0512.pdf.png
4461,,and Tone showing use,side lighten new ll pembroke ,13332,,Me. 152/7,Wilbur Neck,,Ranmks589. Located by Or. I.W. Kingsbury0 Merry He.0 excavated by John Knapton.,1,137,137_13332.pdf.png
7832,,Miniature pot.,,6632,,,,,Purchased by Of. Bidder.,,70,70_6632.pdf.png
8653,,knit fe,south wellfleet massachusetts ,14794,And extending southwest into meadow from point where Indian River enters the meadow.,,Indian River,,Round in 1918.,1001,141,141_14794.pdf.png
5872,,Burden basket.(Plumes 00. Indian),california ,1559,,,llaidu.,,Lift of Mrs. Gertrude H. llillm NorwelL Pass.,,18,18_1559.pdf.png
163,,Hammerstone('f),mass ,7455,E c va t ed.,M39/7,Grassy Island,,Collected by E.B. Delabarre.,0590,103,103_7455.pdf.png
55,,ridge of crude whipped blade.,squibnocket heath southwest side of martha spine arm mass ,10,In to) of heap.,M50/1,Squibnocket Cliff Shellheap,PhotO-NO-,,,1,1_0010.pdf.png
4220,,axe-adve,inches point shore east bay perry maine ,13022,B e a oh,Me. 152/7,Mincher's Point,,polished bit.,1,137,137_13022.pdf.png
6354,,Fragment of winning tray.,can saline valley california ,4116,,,,Photo.No.,Exchange with Southwest Museum Os Angeles. Pal.,,28,28_4116.pdf.png
7432,,arrowhead,south wellfleet massachusetts ,14916,,,J. P. Brown's asparagus farm on shore of Indian River,,Round in 1920.,1137,141,141_14916.pdf.png
4416,6/21/51.,Knife,liver tm throbbing homme ,13279,gee map with site card.,Me. 152/7,Liberty Point,,Rmnmkscift of Or. I.W. In'bury ferry He.0 sugar quit,14,137,137_13279.pdf.png
1079,,Whetstone.,else his wm lip g,2450,French Of)J Snctirm 27. Black pebbles and human.,Me. 152/1,Nevin Shellheap,,,0rig.No.1369,25,25_2450.pdf.png
638,,Whipped arrovpoint.,trenton last ,1998,08.0116.,H35,Scudding Pond,,Lift of Maurice Sobbing. Attleboro'Pass.,H35-E,24,24_1998.pdf.png
