,Cat Number,Site Number,Locality,Site,Name,Situation
57,| Cat. No. 58,M50/1,"Locality Squibnocket Head, southwest side of
Martha"" 5 Vineyayd, Mass.",Site Squibnocket Cliff.,Name 'Awl with point and base gone.,Situation In base of first shell in W. part of heap.
58,Cat. No. 59,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 9 Vineyard, Mass.",Site Squibnocket 01 iff.,Name Bone bead.,Situation Between first and second. shell layers in black I
59,Cat. No. 60,M50/1,"Locality Squibnocket Head, southwest side 0
Martha's Vineyard, Mass.",Site Squibnocket Cliff.,Name I’ierced fish vertebra.,Situation Found in looking over scrap.
60,I Cat.No. 61,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 5 Vineyard, Mass.",Site Squibnocket 01 if f .,Name Piece of bone awl.,Situation Found in scrap.
61,| Cat. No. 63,M50/1,"Locality S quibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnocket 01 iii .,Name Out antler.,Situation Found in scrap.
62,| Cat. No. 63,M50/1,"Locality S quibnocket Head, southwest side of
Martha' 8 Vineyard, Mass.",Site Squibnocket Cliff.,Name Scraps of crude pottery.,Situation Top of first shell layer.
63,I Cat. No. 64,M50/1,"Lmnmy Squibnocket Head, southwest side of
Martha' 5 Vineyard, Mass.",Site Squibnocket Cliff.,Name Two pieces of tmdeoorated pottery.,Situation Bottom of black loam and shell.
64,| Cat. No. 65,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 6 Vineyard, Mass.",Site Squibnocket 01 if f .,Name Piece of pottery.,Situation First shell layer above sca110ps.
65,I Cat. No. 65,M50/1,"Lmnmy Squibnocket Head, southwest side of
Martha's Vineyard, Mass.",Site Squibnocket 01 iff .,Name Small piece of pottery.,Situation Found in looking over scrap.
66,| Cat. No. 1548,,"Wt? From camp at ""Tom Williams Ranch""
near Mono Lake, California.",". pinon pine, handles horsehair woven
5‘“ over cord.",“we Warteuar for my ?imsy we,Situation
67,I Cat.No. 154!,,"Locality From camp near lWilliams Ranch“
Mono Lake.","horsehair handles .
Site Mono Indians .",Name Water pottle forpagcqing on mane.,Situation
68,I Cat. No. 155(,,"Locality Mary's Camp, Yosemite, California.",Site Miwok .,"Name Einnowing plate.

A-._L1.l__._ A..-“ _---u_1-- u..1...4\",Situation
